Country Name,1990,*1990,1991,*1991,1992,*1992,1993,*1993,1994,*1994,1995,*1995,1996,*1996,1997,*1997,1998,*1998,1999,*1999,2000,*2000,2001,*2001,2002,*2002,2003,*2003,2004,*2004,2005,*2005,2006,*2006,2007,*2007,2008,*2008,2009,*2009,2010,*2010,2011,*2011,2012,*2012,2013,*2013,2014,*2014,2015,*2015
Virgin Islands (U.S.),235.8,2.30884E-05,232.7,2.28858E-05,229.6,2.26814E-05,226.5,2.24752E-05,223.4,2.22671E-05,220.2,2.20472E-05,217.1,2.18353E-05,214,2.16215E-05,210.9,2.14057E-05,207.8,2.11879E-05,204.7,2.09682E-05,201.2,2.07118E-05,197.7,2.04528E-05,194.3,2.02017E-05,190.8,1.99375E-05,187.3,1.96707E-05,186.2,1.96297E-05,185,1.95777E-05,183.9,1.9536E-05,182.7,1.94833E-05,181.6,1.94409E-05,180.5,1.93694E-05,179.4,1.92976E-05,178.2,1.92147E-05,177.1,1.91422E-05,176,1.90693E-05
St. Lucia,218,2.13455E-05,217.4,2.13811E-05,216.8,2.1417E-05,216.2,2.14532E-05,215.6,2.14897E-05,215,2.15265E-05,214.4,2.15637E-05,213.8,2.16013E-05,213.2,2.16391E-05,212.6,2.16774E-05,212,2.17159E-05,211.4,2.17618E-05,210.8,2.18081E-05,210.2,2.18548E-05,209.6,2.1902E-05,209,2.19497E-05,208.4,2.19701E-05,207.8,2.19905E-05,207.2,2.20112E-05,206.6,2.2032E-05,206,2.2053E-05,205.4,2.20414E-05,204.8,2.20298E-05,204.2,2.20182E-05,203.6,2.20065E-05,203,2.19947E-05
Grenada,169.9,1.66358E-05,169.9,1.67095E-05,169.9,1.67839E-05,169.9,1.68589E-05,169.9,1.69346E-05,169.9,1.7011E-05,169.9,1.70881E-05,169.9,1.71658E-05,169.9,1.72443E-05,169.9,1.73235E-05,169.9,1.74035E-05,169.9,1.74897E-05,169.9,1.75768E-05,169.9,1.76648E-05,169.9,1.77536E-05,169.9,1.78433E-05,169.9,1.79113E-05,169.9,1.79798E-05,169.9,1.80488E-05,169.9,1.81183E-05,169.9,1.81883E-05,169.9,1.82319E-05,169.9,1.82757E-05,169.9,1.83197E-05,169.9,1.83639E-05,169.9,1.84084E-05
Cayman Islands,127,1.24352E-05,127,1.24903E-05,127,1.25459E-05,127,1.2602E-05,127,1.26586E-05,127,1.27157E-05,127,1.27733E-05,127,1.28314E-05,127,1.28901E-05,127,1.29493E-05,127,1.30091E-05,127,1.30735E-05,127,1.31386E-05,127,1.32044E-05,127,1.32708E-05,127,1.33379E-05,127,1.33887E-05,127,1.34398E-05,127,1.34914E-05,127,1.35434E-05,127,1.35958E-05,127,1.36283E-05,127,1.36611E-05,127,1.3694E-05,127,1.3727E-05,127,1.37602E-05
St. Kitts and Nevis,110,1.07707E-05,110,1.08184E-05,110,1.08665E-05,110,1.09151E-05,110,1.09641E-05,110,1.10136E-05,110,1.10635E-05,110,1.11138E-05,110,1.11647E-05,110,1.12159E-05,110,1.12677E-05,110,1.13235E-05,110,1.13799E-05,110,1.14369E-05,110,1.14944E-05,110,1.15525E-05,110,1.15965E-05,110,1.16408E-05,110,1.16855E-05,110,1.17305E-05,110,1.17759E-05,110,1.18041E-05,110,1.18324E-05,110,1.18609E-05,110,1.18895E-05,110,1.19183E-05
Antigua and Barbuda,103,1.00853E-05,102.7,1.01004E-05,102.4,1.01158E-05,102.1,1.01312E-05,101.8,1.01468E-05,101.5,1.01625E-05,101.2,1.01784E-05,100.9,1.01944E-05,100.6,1.02106E-05,100.3,1.02269E-05,100,1.02434E-05,99.6,1.02529E-05,99.2,1.02626E-05,98.8,1.02724E-05,98.4,1.02823E-05,98,1.02922E-05,98,1.03314E-05,98,1.03709E-05,98,1.04107E-05,98,1.04508E-05,98,1.04912E-05,98,1.05164E-05,98,1.05416E-05,98,1.0567E-05,98,1.05925E-05,98,1.06181E-05
Barbados,63,6.16866E-06,63,6.19599E-06,63,6.22356E-06,63,6.25138E-06,63,6.27945E-06,63,6.30778E-06,63,6.33636E-06,63,6.3652E-06,63,6.39431E-06,63,6.42368E-06,63,6.45332E-06,63,6.4853E-06,63,6.51759E-06,63,6.5502E-06,63,6.58315E-06,63,6.61643E-06,63,6.64162E-06,63,6.66701E-06,63,6.69259E-06,63,6.71837E-06,63,6.74435E-06,63,6.76051E-06,63,6.77675E-06,63,6.79307E-06,63,6.80947E-06,63,6.82595E-06
British Virgin Islands,37.1,3.63265E-06,37.1,3.64875E-06,37,3.65511E-06,37,3.67145E-06,36.9,3.67797E-06,36.9,3.69456E-06,36.9,3.7113E-06,36.8,3.71809E-06,36.8,3.73509E-06,36.7,3.74205E-06,36.7,3.75932E-06,36.7,3.77794E-06,36.7,3.79675E-06,36.6,3.80536E-06,36.6,3.8245E-06,36.6,3.84383E-06,36.6,3.85847E-06,36.5,3.86263E-06,36.5,3.87745E-06,36.4,3.88173E-06,36.4,3.89674E-06,36.4,3.90607E-06,36.3,3.9047E-06,36.3,3.9141E-06,36.2,3.91274E-06,36.2,3.92221E-06
Bermuda,10,9.79152E-07,10,9.8349E-07,10,9.87867E-07,10,9.92283E-07,10,9.96739E-07,10,1.00123E-06,10,1.00577E-06,10,1.01035E-06,10,1.01497E-06,10,1.01963E-06,10,1.02434E-06,10,1.02941E-06,10,1.03454E-06,10,1.03971E-06,10,1.04494E-06,10,1.05023E-06,10,1.05423E-06,10,1.05826E-06,10,1.06232E-06,10,1.06641E-06,10,1.07053E-06,10,1.0731E-06,10,1.07568E-06,10,1.07827E-06,10,1.08087E-06,10,1.08348E-06
St. Martin (French part),10,9.79152E-07,10,9.8349E-07,10,9.87867E-07,10,9.92283E-07,10,9.96739E-07,10,1.00123E-06,10,1.00577E-06,10,1.01035E-06,10,1.01497E-06,10,1.01963E-06,10,1.02434E-06,10,1.02941E-06,10,1.03454E-06,10,1.03971E-06,10,1.04494E-06,10,1.05023E-06,10,1.05423E-06,10,1.05826E-06,10,1.06232E-06,10,1.06641E-06,10,1.07053E-06,10,1.0731E-06,10,1.07568E-06,10,1.07827E-06,10,1.08087E-06,10,1.08348E-06
Aruba,4.2,4.11244E-07,4.2,4.13066E-07,4.2,4.14904E-07,4.2,4.16759E-07,4.2,4.1863E-07,4.2,4.20519E-07,4.2,4.22424E-07,4.2,4.24347E-07,4.2,4.26287E-07,4.2,4.28245E-07,4.2,4.30221E-07,4.2,4.32353E-07,4.2,4.34506E-07,4.2,4.3668E-07,4.2,4.38877E-07,4.2,4.41095E-07,4.2,4.42775E-07,4.2,4.44467E-07,4.2,4.46173E-07,4.2,4.47891E-07,4.2,4.49623E-07,4.2,4.50701E-07,4.2,4.51784E-07,4.2,4.52871E-07,4.2,4.53965E-07,4.2,4.55063E-07
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),10212920.7,,10167869.8,,10122819.3,,10077768.6,,10032717.9,,9987667.1,,9942616.5,,9897565.9,,9852515.1,,9807464.5,,9762413.8,,9714282.6,,9666151.4,,9618020.4,,9569889.2,,9521758.1,,9485636.6,,9449515.2,,9413394,,9377272.6,,9341151.2,,9318818.9,,9296486.7,,9274154.6,,9251822.4,,9229490.2,
